Spell Name,School,Casting Time,Range,Duration,Components,Level
Borrowed Knowledge,Divination,1 Action,Self,1 hour,"V, S, M",2
Calm Emotions,Enchantment,1 Action,60 feet,"Concentration, up to 1 minute","V, S",2
Cloud of Daggers,Conjuration,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M",2
Crown of Madness,Enchantment,1 Action,120 feet,"Concentration, up to 1 minute","V, S",2
Detect Thoughts,Divination,1 Action,Self,"Concentration, up to 1 minute","V, S, M",2
Enhance Ability,Transmutation,1 Action,Touch,"Concentration, up to 1 hour","V, S, M",2
Enlarge/Reduce,Transmutation,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M",2
Enthrall,Enchantment,1 Action,60 feet,1 minute,"V, S",2
Gift of Gab,Enchantment,Reaction,Self,Instantaneous,"V, S, M",2
Heat Metal,Transmutation,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M",2
Hold Person,Enchantment,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M",2
Invisibility,Illusion,1 Action,Touch,"Concentration, up to 1 hour","V, S, M",2
Kinetic Jaunt,Transmutation,1 Bonus Action,Self,"Concentration, up to 1 minute",S,2
Knock,Transmutation,1 Action,60 feet,Instantaneous,V,2
Lesser Restoration,Abjuration,1 Action,Touch,Instantaneous,"V, S",2
Locate Animals or Plants,Divination,1 Action R,Self,Instantaneous,"V, S, M",2
Locate Object,Divination,1 Action,Self,"Concentration, up to 10 minutes","V, S, M",2
Magic Mouth,Illusion,1 Minute R,30 feet,Until dispelled,"V, S, M",2
Mirror Image,Illusion,1 Action,Self,1 minute,"V, S",2
Nathair's Mischief,Illusion,1 Action,60ft,"Concentration, up to 1 minute","S, M",2
Nathair's Mischief (UA),Illusion,1 Action,60 feet,"Concentration, up to 1 minute","S, M",2
Phantasmal Force,Illusion,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M",2
Pyrotechnics,Transmutation,1 Action,60 feet,Instantaneous,"V, S",2
See Invisibility,Divination,1 Action,Self,1 hour,"V, S, M",2
Shatter,Evocation,1 Action,60 feet,Instantaneous,"V, S, M",2
Silence,Illusion,1 Action R,120 feet,"Concentration, up to 10 minutes","V, S",2
Skywrite,Transmutation,1 Action R,Sight,"Concentration, up to 1 day","V, S",2
Spray Of Cards,Conjuration,1 Action,Self (15-foot cone),Instantaneous,"V, S, M",2
Spray of Cards (UA),Conjuration,1 Action,15-foot cone,Instantaneous,"V, S, M",2
Suggestion,Enchantment,1 Action,30 feet,"Concentration, up to 8 hours","V, M",2
Warding Wind,Evocation,1 Action,Self,"Concentration, up to 10 minutes",V,2
Zone of Truth,Enchantment,1 Action,60 feet,10 minutes,"V, S",2
Antagonize,Enchantment,1 Action,30 feet,Instantaneous,"V, S, M",3
Antagonize (UA),Enchantment,1 Action,30 feet,Instantaneous,"V, S, M",3
Bestow Curse,Necromancy,1 Action,Touch,"Concentration, up to 1 minute","V, S",3
Catnap,Enchantment,1 Action,30 feet,10 minutes,"S, M",3
Clairvoyance,Divination,10 Minutes,1 mile,"Concentration, up to 10 minutes","V, S, M",3
Dispel Magic,Abjuration,1 Action,120 feet,Instantaneous,"V, S",3
Enemies Abound,Enchantment,1 Action,120 feet,"Concentration, up to 1 minute","V, S",3
Fast Friends,Enchantment,1 Action,30 feet,"Concentration, up to 1 hour",V,3
Fear,Illusion,1 Action,Self (30-foot cone),"Concentration, up to 1 minute","V, S, M",3
Feign Death,Necromancy,1 Action R,Touch,1 hour,"V, S, M",3
Glyph of Warding,Abjuration,1 Hour,Touch,Until dispelled or triggered,"V, S, M",3
House of Cards (UA),Conjuration,1 Minute,Touch,24 hours,"V, S, M",3
Hypnotic Pattern,Illusion,1 Action,120 feet,"Concentration, up to 1 minute","S, M",3
Intellect Fortress,Abjuration,1 Action,30 feet,"Concentration, up to 1 hour",V,3
Leomund's Tiny Hut,Evocation,1 Minute R,Self (10-foot radius hemisphere),8 hours,"V, S, M",3
Major Image,Illusion,1 Action,120 feet,"Concentration, up to 10 minutes","V, S, M",3
Mass Healing Word,Evocation,1 Bonus Action,60 feet,Instantaneous,V,3
Motivational Speech,Enchantment,1 hour,60 feet,1 hour,V,3
Nondetection,Abjuration,1 Action,Touch,8 hours,"V, S, M",3
Plant Growth,Transmutation,1 Action or 8 Hours,150 feet,Instantaneous,"V, S",3
Sending,Evocation,1 Action,Unlimited,1 round,"V, S, M",3
Slow,Transmutation,1 Action,120 feet,"Concentration, up to 1 minute","V, S, M",3
Speak with Dead,Necromancy,1 Action,10 feet,10 minutes,"V, S, M",3
Speak with Plants,Transmutation,1 Action,Self (30-foot radius),10 minutes,"V, S",3
Stinking Cloud,Conjuration,1 Action,90 feet,"Concentration, up to 1 minute","V, S, M",3
Tongues,Divination,1 Action,Touch,1 hour,"V, M",3
Charm Monster,Enchantment,1 Action,30 feet,1 hour,"V, S",4
Compulsion,Enchantment,1 Action,30 feet,"Concentration, up to 1 minute","V, S",4
Confusion,Enchantment,1 Action,90 feet,"Concentration, up to 1 minute","V, S, M",4
Dimension Door,Conjuration,1 Action,500 feet,Instantaneous,V,4
Ego Whip (UA),Enchantment,1 Action,30 feet,"Concentration, up to 1 minute",V,4
Freedom of Movement,Abjuration,1 Action,Touch,1 hour,"V, S, M",4
Greater Invisibility,Illusion,1 Action,Touch,"Concentration, up to 1 minute","V, S",4
Hallucinatory Terrain,Illusion,10 Minutes,300 feet,24 hours,"V, S, M",4
Locate Creature,Divination,1 Action,Self,"Concentration, up to 1 hour","V, S, M",4
Phantasmal Killer,Illusion,1 Action,120 feet,"Concentration, up to 1 minute","V, S",4
Polymorph,Transmutation,1 Action,60 feet,"Concentration, up to 1 hour","V, S, M",4
Raulothim's Psychic Lance,Enchantment,1 Action,120 feet,Instantaneous,V,4
Raulothim's Psychic Lance (UA),Enchantment,1 Action,120 feet,Instantaneous,V,4
Animate Objects,Transmutation,1 Action,120 feet,"Concentration, up to 1 minute","V, S",5
Awaken,Transmutation,8 Hours,Touch,Instantaneous,"V, S, M",5
Dominate Person,Enchantment,1 Action,60 feet,"Concentration, up to 1 minute","V, S",5
Dream,Illusion,1 Minute,Special,8 hours,"V, S, M",5
Geas,Enchantment,1 Minute,60 feet,30 days,V,5
Greater Restoration,Abjuration,1 Action,Touch,Instantaneous,"V, S, M",5
Hold Monster,Enchantment,1 Action,90 feet,"Concentration, up to 1 minute","V, S, M",5
Legend Lore,Divination,10 Minutes,Self,Instantaneous,"V, S, M",5
Mass Cure Wounds,Evocation,1 Action,60 feet,Instantaneous,"V, S",5
Mislead,Illusion,1 Action,Self,"Concentration, up to 1 hour",S,5
Modify Memory,Enchantment,1 Action,30 feet,"Concentration, up to 1 minute","V, S",5
Planar Binding,Abjuration,1 Hour,60 feet,24 hours,"V, S, M",5
Raise Dead,Necromancy,1 Action,Touch,Instantaneous,"V, S, M",5
Rary's Telepathic Bond,Divination,1 Action R,30 feet,1 hour,"V, S, M",5
Scrying,Divination,10 Minutes,Self,"Concentration, up to 10 minutes","V, S, M",5
Seeming,Illusion,1 Action,30 feet,8 hours,"V, S",5
Skill Empowerment,Transmutation,1 Action,Touch,"Concentration, up to 1 hour","V, S",5
Synaptic Static,Enchantment,1 Action,120 feet,Instantaneous,"V, S",5
Teleportation Circle,Conjuration,1 Minute,10 feet,1 round,"V, M",5
Eyebite,Necromancy,1 Action,Self,"Concentration, up to 1 minute","V, S",6
Find the Path,Divination,1 Minute,Self,"Concentration, up to 1 day","V, S, M",6
Guards and Wards,Abjuration,10 Minutes,Touch,24 hours,"V, S, M",6
Heroes' Feast,Conjuration,10 Minutes,30 feet,Instantaneous,"V, S, M",6
Mass Suggestion,Enchantment,1 Action,60 feet,24 hours,"V, M",6
Otto's Irresistible Dance,Enchantment,1 Action,30 feet,"Concentration, up to 1 minute",V,6
Programmed Illusion,Illusion,1 Action,120 feet,Until dispelled,"V, S, M",6
True Seeing,Divination,1 Action,Touch,1 hour,"V, S, M",6
Dream of the Blue Veil,Conjuration,10 minutes,20 feet,6 hours,"V, S, M",7
Etherealness,Transmutation,1 Action,Self,Up to 8 hours,"V, S",7
Forcecage,Evocation,1 Action,100 feet,1 hour,"V, S, M",7
Mirage Arcane,Illusion,10 Minutes,Sight,10 days,"V, S",7
Mordenkainen's Magnificent Mansion,Conjuration,1 Minute,300 feet,24 hours,"V, S, M",7
Mordenkainen's Sword,Evocation,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M",7
Prismatic Spray,Evocation,1 Action,Self (60-foot cone),Instantaneous,"V, S",7
Project Image,Illusion,1 Action,500 Miles,"Concentration, up to 1 day","V, S, M",7
Regenerate,Transmutation,1 Minute,Touch,1 hour,"V, S, M",7
Resurrection,Necromancy,1 Hour,Touch,Instantaneous,"V, S, M",7
Symbol,Abjuration,1 Minute,Touch,Until dispelled or triggered,"V, S, M",7
Teleport,Conjuration,1 Action,10 feet,Instantaneous,V,7
Antipathy/Sympathy,Enchantment,1 Hour,60 feet,10 Days,"V, S, M",8
Dominate Monster,Enchantment,1 Action,60 feet,"Concentration, up to 1 hour","V, S",8
Feeblemind,Enchantment,1 Action,150 feet,Instantaneous,"V, S, M",8
Glibness,Transmutation,1 Action,Self,1 hour,V,8
Mind Blank,Abjuration,1 Action,Touch,24 hours,"V, S",8
Power Word: Stun,Enchantment,1 Action,60 feet,Instantaneous,"V, S",8
Foresight,Divination,1 Minute,Touch,8 hours,"V, S, M",9
Mass Polymorph,Transmutation,1 Action,120 feet,"Concentration, up to 1 hour","V, S, M",9
Power Word: Heal,Evocation,1 Action,Touch,Instantaneous,"V, S",9
Power Word: Kill,Enchantment,1 Action,60 feet,Instantaneous,V,9
Prismatic Wall,Abjuration,1 Action,60 feet,10 minutes,"V, S",9
Psychic Scream,Enchantment,1 Action,90 feet,Instantaneous,S,9
True Polymorph,Transmutation,1 Action,30 feet,"Concentration, up to 1 hour","V, S, M",9
